day,time,course_code,room_code
Monday,3 10:50 - 11:45,CSE2258,NF01
Monday,4 11:45 - 12:35,MAT2501,NF01
Monday,6 1:25 - 2:20,CSE2264,NF01
Monday,7 2:30 - 3:25,CSE2251,NF01
Monday,8 3:25 - 4:15,CSE2253,NF01
Tuesday,3 10:50 - 11:45,CSE2259,LGL05
Tuesday,6 1:25 - 2:20,CSE2264,NF01
Tuesday,7 2:30 - 3:25,CSE2257,NF01
Tuesday,8 3:25 - 4:15,CSE2251,NF01
Wednesday,1 8:50 - 9:45,CSE2253,NF01
Wednesday,2 9:45 - 10:40,CSE1500,NF01
Wednesday,3 10:50 - 11:45,CSE2257,NF01
Wednesday,4 11:45 - 12:35,MAT2501,NF01
Wednesday,6 1:25 - 2:20,CSE2258,NF01
Wednesday,7 2:30 - 3:25,CSE2254,LFL03
Thursday,1 8:50 - 9:45,CSE2252,DSL03
Thursday,3 10:50 - 11:45,CSE2258,NF01
Thursday,4 11:45 - 12:35,CSE1500,NF01
Thursday,6 1:25 - 2:20,CSE2264,NF01
Thursday,7 2:30 - 3:25,CSE2257,NF01
Thursday,8 3:25 - 4:15,MAT2501,NF01
Friday,1 8:50 - 9:45,CSE2253,NF01
Friday,3 10:50 - 11:45,CSE2251,NF01
Friday,4 11:45 - 12:35,MAT2501,NF01
Friday,7 2:30 - 3:25,APT4002,NF01
Monday,1 8:50 - 9:45,CSE2258,NF02
Monday,2 9:45 - 10:40,CSE2253,NF02
Monday,3 10:50 - 11:45,CSE2259,DTL03
Monday,6 1:25 - 2:20,MAT2501,NF02
Monday,7 2:30 - 3:25,APT4002,NF02
Tuesday,1 8:50 - 9:45,MAT2501,NF02
Tuesday,2 9:45 - 10:40,CSE2251,NF02
Tuesday,3 10:50 - 11:45,CSE2254,LFL02
Tuesday,6 1:25 - 2:20,CSE2253,NF02
Wednesday,1 8:50 - 9:45,CSE2257,NF02
Wednesday,2 9:45 - 10:40,CSE2264,NF02
Wednesday,3 10:50 - 11:45,CSE2251,NF02
Wednesday,4 11:45 - 12:35,CSE2258,NF02
Wednesday,7 2:30 - 3:25,CSE2252,DSL03
Thursday,1 8:50 - 9:45,CSE2258,NF02
Thursday,2 9:45 - 10:40,CSE2253,NF02
Thursday,3 10:50 - 11:45,CSE2257,NF02
Thursday,4 11:45 - 12:35,MAT2501,NF02
Thursday,7 2:30 - 3:25,CSE2264,NF02
Thursday,8 3:25 - 4:15,CSE1500,NF02
Friday,1 8:50 - 9:45,CSE2257,NF02
Friday,2 9:45 - 10:40,CSE1500,NF02
Friday,3 10:50 - 11:45,CSE2264,NF02
Friday,4 11:45 - 12:35,CSE2251,NF02
Friday,6 1:25 - 2:20,MAT2501,NF02
Monday,1 8:50 - 9:45,CSE2264,NF03
Monday,2 9:45 - 10:40,MAT2501,NF03
Monday,3 10:50 - 11:45,CSE2259,LGL05
Monday,7 2:30 - 3:25,CSE2252,DSL04
Tuesday,1 8:50 - 9:45,CSE2251,NF03
Tuesday,2 9:45 - 10:40,CSE2258,NF03
Tuesday,3 10:50 - 11:45,CSE2257,NF03
Tuesday,4 11:45 - 12:35,CSE1500,NF03
Tuesday,6 1:25 - 2:20,MAT2501,NF03
Tuesday,7 2:30 - 3:25,APT4002,NF03
Wednesday,1 8:50 - 9:45,CSE2251,NF03
Wednesday,2 9:45 - 10:40,CSE2257,NF03
Wednesday,3 10:50 - 11:45,CSE2254,LFL02
Wednesday,6 1:25 - 2:20,CSE2253,NF03
